topology,algorithm,algorithm_config_name,calls,load,seed,blocking_rate,expected_security_exposure,total_security_cost,accepted,blocked,accepted_secure,blocked_secure
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,6.0,9,0.44,1.0,19.314285714285713,56,44,35,38
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,6.0,9,0.49,4.4375,16.823529411764707,51,49,34,39
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,6.0,65,0.53,3.5625,19.655172413793103,47,53,29,36
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,6.0,65,0.54,0.6875,16.666666666666668,46,54,18,47
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,6.0,65,0.52,4.8125,19.29032258064516,48,52,31,34
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,6.0,26,0.48,1.625,19.2,52,48,25,42
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,6.0,26,0.54,0.6875,23.473684210526315,46,54,19,48
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,6.0,26,0.55,2.0625,18.869565217391305,45,55,23,44
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,6.0,34,0.45,2.3125,17.12,55,45,25,39
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,6.0,34,0.45,0.6875,19.666666666666668,55,45,24,40
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,6.0,34,0.47,1.625,17.428571428571427,53,47,21,43
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,6.0,73,0.49,2.25,15.2,51,49,30,37
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,6.0,73,0.49,0.4375,16.17391304347826,51,49,23,44
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,6.0,73,0.52,1.375,16.0,48,52,26,41
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,6.0,45,0.46,2.125,12.941176470588236,54,46,34,37
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,6.0,45,0.52,0.5,17.52,48,52,25,46
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,6.0,45,0.48,2.25,13.612903225806452,52,48,31,40
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,6.0,90,0.39,1.8125,15.257142857142858,61,39,35,31
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,6.0,90,0.45,0.3125,15.166666666666666,55,45,24,42
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,6.0,90,0.36,2.625,15.314285714285715,64,36,35,31
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,6.0,62,0.39,3.25,15.212121212121213,61,39,33,34
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,6.0,62,0.5,2.0625,17.28,50,50,25,42
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,6.0,62,0.4,2.3125,15.428571428571429,60,40,28,39
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,7.0,37,0.52,2.1875,17.885714285714286,48,52,35,41
graphml/SixNode.graphml,ag_sf_grooming,SFG,100,7.0,37,0.56,1.125,19.724137931034484,44,56,29,47
graphml/SixNode.graphml,ag_jdr_grooming,JDRG,100,7.0,37,0.52,2.4375,18.176470588235293,48,52,34,42
graphml/SixNode.graphml,ag_cf_grooming,CFG,100,7.0,35,0.47,0.875,13.36,53,47,25,42
